NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
45412,STARLINK-1296,1109.6309739595788,261.51627985632285,181.92436859570284,2.842568259307857e-08,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,368058.30710343015,53.1594,466.7389791327803,STARLINK (LEO)
45413,STARLINK-1298,7116.511117111429,0.0,0.0,0.0,['NOMINAL'],Nominal,372807.2614510346,53.032,783.9986774653364,STARLINK (LEO)
45414,STARLINK-1309,11834.361356500216,0.0,0.0,0.0,['NOMINAL'],Nominal,364878.972121732,53.0666,377.51659482362123,STARLINK (LEO)
45415,STARLINK-1316,10626.614291680216,0.0,0.0,0.0,['NOMINAL'],Nominal,370107.5111780304,53.1612,474.58875966237724,STARLINK (LEO)
45416,STARLINK-1318,,,,,['NOMINAL'],Nominal,,53.0199,,STARLINK (LEO)
45417,STARLINK-1286,12509.261048420145,0.0,0.0,0.0,['NOMINAL'],Nominal,369850.23096402263,53.0482,402.8771183510204,STARLINK (LEO)
45419,STARLINK-1308,5794.76688667026,0.0,0.0,0.0,['NOMINAL'],Nominal,371078.23715347325,53.0526,383.4359451687278,STARLINK (LEO)
45531,STARLINK-1329,7558.836728708774,0.0,0.0,0.0,['NOMINAL'],Nominal,13072.072521579408,53.0478,-4588.195337240897,STARLINK (LEO)
45532,STARLINK-1338,12231.644746286302,0.0,0.0,0.0,['NOMINAL'],Nominal,366460.41181524633,53.0493,387.8724798406634,STARLINK (LEO)
45535,STARLINK-1350,8576.141575881567,0.0,0.0,0.0,['NOMINAL'],Nominal,371859.6567748847,53.0742,459.01813236778526,STARLINK (LEO)
45538,STARLINK-1362,1870.9791343806103,91.98520559132194,63.98970823744135,9.998391912100212e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,371200.2624421634,53.1632,521.1927538071154,STARLINK (LEO)
45540,STARLINK-1368,3460.3452005838367,26.8916233759231,18.70721626151172,2.9230025408612064e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,367335.78267672716,53.1614,481.85833339937057,STARLINK (LEO)
45542,STARLINK-1371,7056.252403482026,0.0,0.0,0.0,['NOMINAL'],Nominal,367538.86064072966,53.0493,401.28809696297975,STARLINK (LEO)
45543,STARLINK-1372,13439.750743229615,0.0,0.0,0.0,['NOMINAL'],Nominal,368668.1586536121,53.1618,481.3814049532955,STARLINK (LEO)
